item_id,category_id,item_name,cost_price,selling_price,food_type,available
72,4,Burger 72,119,182,Non Veg,Yes
73,1,Pizza 73,94,167,Non Veg,Yes
74,6,Mishti Doi 74,226,375,Veg,Yes
75,8,Chicken Chowmein 75,139,259,Non Veg,Yes
76,1,Chicken Chowmein 76,125,303,Non Veg,Yes
77,6,Masala Dosa 77,98,133,Veg,Yes
78,8,Chicken Chaap 78,195,236,Non Veg,Yes
79,3,Cold Coffee 79,226,427,Veg,Yes
80,5,Fish Fry 80,138,237,Non Veg,Yes
81,5,Mutton Biryani 81,131,306,Non Veg,Yes
82,3,Pizza 82,218,256,Non Veg,Yes
83,2,Mutton Kosha 83,91,230,Non Veg,Yes
84,2,Cold Coffee 84,132,234,Veg,Yes
85,4,Rosogolla 85,243,309,Veg,Yes
86,2,Cold Coffee 86,117,234,Veg,Yes
87,6,Lassi 87,170,362,Veg,Yes
88,6,Chicken Chaap 88,180,393,Non Veg,Yes
89,6,Paneer Butter Masala 89,55,265,Veg,Yes
90,6,Chicken Chowmein 90,240,393,Non Veg,Yes
91,6,Burger 91,102,192,Non Veg,Yes
92,3,Chicken Chowmein 92,74,156,Non Veg,Yes
93,8,Chicken Biryani 93,143,287,Non Veg,Yes
94,5,Paneer Butter Masala 94,83,263,Veg,Yes
95,3,Mutton Biryani 95,117,331,Non Veg,Yes
96,5,Veg Fried Rice 96,226,402,Veg,Yes
97,6,Burger 97,58,136,Non Veg,Yes
98,2,Pizza 98,189,264,Non Veg,Yes
99,6,Veg Fried Rice 99,159,280,Veg,Yes
100,7,Rosogolla 100,224,271,Veg,Yes
101,8,Mishti Doi 101,121,195,Veg,Yes
102,5,Veg Fried Rice 102,179,214,Veg,Yes
103,3,Rosogolla 103,200,298,Veg,Yes
104,1,Chicken Chaap 104,95,137,Non Veg,Yes
105,8,Paneer Butter Masala 105,91,275,Veg,Yes
106,2,Veg Fried Rice 106,90,181,Veg,Yes
107,1,Lassi 107,73,256,Veg,Yes
108,2,Chicken Biryani 108,58,235,Non Veg,Yes
109,3,Chicken Chowmein 109,41,119,Non Veg,Yes
110,1,Veg Fried Rice 110,203,315,Veg,Yes
111,1,Mutton Kosha 111,94,206,Non Veg,Yes
112,1,Chicken Chowmein 112,206,360,Non Veg,Yes
113,6,Paneer Butter Masala 113,84,128,Veg,Yes
114,7,Mishti Doi 114,243,284,Veg,Yes
115,6,Mutton Biryani 115,238,394,Non Veg,Yes
116,7,Pizza 116,105,253,Non Veg,Yes
117,1,Mishti Doi 117,46,157,Veg,Yes
118,6,Pizza 118,54,190,Non Veg,Yes
119,6,Pizza 119,80,133,Non Veg,Yes
120,3,Chicken Biryani 120,93,159,Non Veg,Yes
