payment_id,order_id,payment_mode,amount,payment_status,payment_date
75,75,Wallet,918,Paid,2026-04-04
76,76,Card,1593,Paid,2026-03-21
77,77,UPI,1438,Paid,2026-05-04
78,78,Wallet,1519,Paid,2026-07-11
79,79,UPI,2119,Paid,2026-06-16
80,80,Cash,842,Paid,2026-05-28
81,81,UPI,2309,Paid,2026-02-11
82,82,Card,2470,Paid,2026-03-11
83,83,Wallet,1479,Paid,2026-04-03
84,84,Wallet,1570,Paid,2026-06-13
85,85,Cash,1415,Paid,2026-07-12
86,86,Card,978,Paid,2026-03-08
87,87,Wallet,956,Paid,2026-04-01
88,88,Cash,2583,Paid,2026-07-26
89,89,UPI,2164,Paid,2026-07-18
90,90,Wallet,1455,Paid,2026-05-17
91,91,UPI,2572,Paid,2026-01-18
92,92,Wallet,974,Paid,2026-02-08
93,93,Card,2057,Paid,2026-03-15
94,94,Cash,596,Paid,2026-06-05
95,95,Wallet,1963,Paid,2026-04-03
96,96,Cash,1477,Paid,2026-03-12
97,97,Card,2270,Paid,2026-05-04
98,98,Cash,1487,Paid,2026-07-27
99,99,Wallet,1185,Paid,2026-06-11
100,100,Card,1058,Paid,2026-02-27
101,101,Card,2142,Paid,2026-01-19
102,102,Cash,1960,Paid,2026-06-07
103,103,Cash,2549,Paid,2026-04-23
104,104,Card,1672,Paid,2026-07-09
105,105,Cash,965,Paid,2026-05-23
106,106,Cash,1909,Paid,2026-01-12
107,107,UPI,1158,Paid,2026-02-09
108,108,UPI,1749,Paid,2026-01-28
109,109,Cash,1860,Paid,2026-07-01
110,110,Cash,1809,Paid,2026-02-24
111,111,Card,2349,Paid,2026-03-24
112,112,Wallet,1089,Paid,2026-04-08
113,113,UPI,1981,Paid,2026-07-14
114,114,UPI,1114,Paid,2026-07-03
115,115,Cash,1203,Paid,2026-07-24
116,116,Wallet,908,Paid,2026-03-04
117,117,Wallet,1248,Paid,2026-03-03
118,118,UPI,1492,Paid,2026-03-09
119,119,Wallet,1695,Paid,2026-02-06
120,120,Cash,727,Paid,2026-01-01
121,121,Cash,2226,Paid,2026-06-30
122,122,Wallet,1194,Paid,2026-02-17
123,123,Card,1550,Paid,2026-01-29
124,124,Cash,1664,Paid,2026-03-12
125,125,UPI,2478,Paid,2026-01-20
126,126,Cash,392,Paid,2026-07-14
127,127,UPI,1809,Paid,2026-06-21
128,128,Wallet,1149,Paid,2026-03-06
129,129,UPI,1318,Paid,2026-07-15
130,130,UPI,1062,Paid,2026-05-20
131,131,Wallet,2815,Paid,2026-01-27
132,132,Cash,933,Paid,2026-02-11
133,133,UPI,1006,Paid,2026-06-15
134,134,Cash,2478,Paid,2026-06-06
135,135,UPI,1171,Paid,2026-01-24
136,136,Cash,919,Paid,2026-06-17
137,137,Card,1128,Paid,2026-05-18
138,138,UPI,886,Paid,2026-07-16
139,139,Cash,938,Paid,2026-04-24
140,140,Card,836,Paid,2026-04-10
141,141,Card,1167,Paid,2026-03-13
142,142,Card,696,Paid,2026-06-19
143,143,Card,2091,Paid,2026-06-16
144,144,UPI,1263,Paid,2026-05-19
145,145,UPI,909,Paid,2026-05-14
146,146,Wallet,1158,Paid,2026-06-16
147,147,Card,708,Paid,2026-03-09
148,148,Wallet,1278,Paid,2026-01-08
149,149,Cash,915,Paid,2026-01-31
150,150,UPI,1760,Paid,2026-02-18
151,151,UPI,1627,Paid,2026-05-04
152,152,Wallet,412,Paid,2026-05-11
153,153,UPI,886,Paid,2026-07-20
154,154,Cash,1078,Paid,2026-03-13
155,155,UPI,2807,Paid,2026-06-10
156,156,UPI,1494,Paid,2026-07-17
157,157,UPI,2437,Paid,2026-06-29
158,158,UPI,2052,Paid,2026-03-19
159,159,Wallet,3145,Paid,2026-01-17
160,160,Card,1072,Paid,2026-02-21
161,161,Cash,614,Paid,2026-04-16
162,162,UPI,1876,Paid,2026-02-09
163,163,UPI,690,Paid,2026-03-08
164,164,Wallet,669,Paid,2026-05-29
165,165,Cash,1631,Paid,2026-07-22
166,166,UPI,1308,Paid,2026-04-22
167,167,Cash,1351,Paid,2026-04-18
168,168,Cash,2906,Paid,2026-04-25
169,169,Card,2250,Paid,2026-06-01
170,170,Wallet,1988,Paid,2026-06-23
171,171,Wallet,1271,Paid,2026-05-02
172,172,UPI,2311,Paid,2026-04-13
173,173,Wallet,878,Paid,2026-02-26
174,174,UPI,2567,Paid,2026-06-15
175,175,Card,1357,Paid,2026-07-27
176,176,UPI,1254,Paid,2026-01-30
177,177,Cash,999,Paid,2026-04-05
178,178,Cash,1897,Paid,2026-02-20
179,179,Cash,768,Paid,2026-06-28
180,180,Card,837,Paid,2026-01-07
181,181,Cash,972,Paid,2026-03-23
182,182,UPI,1905,Paid,2026-01-17
183,183,Wallet,841,Paid,2026-06-04
184,184,Cash,943,Paid,2026-03-17
185,185,Wallet,1602,Paid,2026-05-31
186,186,Wallet,1506,Paid,2026-02-05
187,187,Wallet,1611,Paid,2026-05-14
188,188,UPI,1192,Paid,2026-06-07
189,189,Card,1797,Paid,2026-01-16
190,190,Cash,1045,Paid,2026-05-14
191,191,Cash,1073,Paid,2026-03-25
192,192,Cash,3033,Paid,2026-02-20
193,193,Card,1584,Paid,2026-01-28
194,194,Cash,2541,Paid,2026-05-03
195,195,UPI,710,Paid,2026-01-27
196,196,Cash,2424,Paid,2026-01-17
197,197,UPI,843,Paid,2026-02-07
198,198,Wallet,1057,Paid,2026-05-16
199,199,Wallet,995,Paid,2026-02-13
200,200,Card,1721,Paid,2026-05-22
201,201,Card,2156,Paid,2026-07-14
202,202,Card,1841,Paid,2026-07-25
203,203,Card,1148,Paid,2026-02-14
204,204,Card,903,Paid,2026-01-03
205,205,UPI,2197,Paid,2026-04-04
206,206,Card,1142,Paid,2026-07-29
207,207,Cash,1254,Paid,2026-05-10
208,208,Cash,366,Paid,2026-03-30
209,209,Card,1981,Paid,2026-07-23
210,210,UPI,640,Paid,2026-04-03
211,211,Wallet,1227,Paid,2026-04-05
212,212,Card,2403,Paid,2026-03-21
213,213,Wallet,2125,Paid,2026-07-09
214,214,Cash,536,Paid,2026-01-04
215,215,UPI,1324,Paid,2026-06-17
216,216,Cash,2135,Paid,2026-04-20
217,217,Card,1299,Paid,2026-02-26
218,218,Wallet,2949,Paid,2026-03-19
219,219,Cash,798,Paid,2026-05-24
220,220,UPI,1707,Paid,2026-05-26
221,221,Wallet,479,Paid,2026-05-11
222,222,UPI,1209,Paid,2026-07-25
223,223,UPI,1903,Paid,2026-04-18
224,224,Cash,2074,Paid,2026-05-18
225,225,Wallet,1721,Paid,2026-07-11
226,226,Card,1870,Paid,2026-01-23
227,227,Wallet,923,Paid,2026-04-15
228,228,Card,1856,Paid,2026-03-19
229,229,UPI,2178,Paid,2026-02-17
230,230,Wallet,453,Paid,2026-05-01
231,231,UPI,1826,Paid,2026-01-18
232,232,Wallet,1687,Paid,2026-04-30
233,233,Cash,1665,Paid,2026-04-21
234,234,UPI,2061,Paid,2026-06-25
235,235,Card,1300,Paid,2026-03-29
236,236,Card,1193,Paid,2026-07-26
237,237,Card,1453,Paid,2026-06-13
238,238,Card,1410,Paid,2026-01-05
239,239,UPI,812,Paid,2026-03-15
240,240,Wallet,861,Paid,2026-01-16
241,241,UPI,1574,Paid,2026-03-09
242,242,UPI,2356,Paid,2026-01-11
243,243,UPI,570,Paid,2026-03-19
244,244,UPI,799,Paid,2026-01-29
245,245,Cash,1464,Paid,2026-04-03
246,246,Cash,684,Paid,2026-06-22
247,247,Cash,2215,Paid,2026-04-25
248,248,UPI,1572,Paid,2026-06-03
249,249,UPI,1258,Paid,2026-06-26
250,250,UPI,1726,Paid,2026-05-26
251,251,Card,2371,Paid,2026-03-10
252,252,Wallet,1957,Paid,2026-07-25
253,253,Wallet,1328,Paid,2026-07-13
254,254,Cash,783,Paid,2026-06-30
255,255,Card,1504,Paid,2026-06-05
256,256,Wallet,2265,Paid,2026-01-25
257,257,Wallet,3217,Paid,2026-07-16
258,258,UPI,676,Paid,2026-01-31
259,259,Cash,1426,Paid,2026-04-01
260,260,Cash,732,Paid,2026-01-23
261,261,Card,1492,Paid,2026-07-06
262,262,UPI,696,Paid,2026-02-12
263,263,UPI,1585,Paid,2026-02-11
264,264,Wallet,1471,Paid,2026-01-26
265,265,Cash,1061,Paid,2026-05-04
266,266,Wallet,696,Paid,2026-05-22
267,267,UPI,1284,Paid,2026-03-10
268,268,Wallet,1115,Paid,2026-03-29
269,269,Wallet,808,Paid,2026-05-28
270,270,UPI,3048,Paid,2026-06-11
271,271,Cash,970,Paid,2026-04-03
272,272,Cash,1513,Paid,2026-04-18
273,273,Cash,1653,Paid,2026-06-25
274,274,Cash,1688,Paid,2026-03-10
275,275,Cash,2734,Paid,2026-05-12
276,276,Cash,1965,Paid,2026-02-23
277,277,Card,2167,Paid,2026-01-18
278,278,UPI,1830,Paid,2026-06-19
279,279,UPI,1784,Paid,2026-04-06
280,280,Cash,1088,Paid,2026-02-08
281,281,UPI,1211,Paid,2026-05-24
282,282,Card,1478,Paid,2026-07-13
283,283,Cash,1146,Paid,2026-05-02
284,284,Card,1332,Paid,2026-06-04
285,285,UPI,2456,Paid,2026-06-16
286,286,Cash,955,Paid,2026-03-20
287,287,Card,2827,Paid,2026-05-08
288,288,Wallet,3346,Paid,2026-01-13
289,289,Wallet,1560,Paid,2026-03-08
290,290,UPI,1445,Paid,2026-01-26
291,291,UPI,1630,Paid,2026-03-10
292,292,Card,1916,Paid,2026-01-22
293,293,UPI,1076,Paid,2026-02-19
294,294,Cash,1932,Paid,2026-02-06
295,295,Card,516,Paid,2026-07-22
296,296,UPI,1390,Paid,2026-03-31
297,297,Cash,1654,Paid,2026-01-01
298,298,Card,514,Paid,2026-01-30
299,299,UPI,3186,Paid,2026-01-22
300,300,UPI,1989,Paid,2026-03-21
301,301,Card,2401,Paid,2026-06-08
302,302,Wallet,1898,Paid,2026-03-12
303,303,UPI,1688,Paid,2026-05-20
304,304,UPI,1412,Paid,2026-07-06
305,305,Cash,2517,Paid,2026-03-01
306,306,UPI,1737,Paid,2026-03-29
307,307,Cash,1192,Paid,2026-03-29
308,308,Card,1437,Paid,2026-04-05
309,309,Card,386,Paid,2026-04-18
310,310,Wallet,677,Paid,2026-01-16
311,311,Card,1675,Paid,2026-04-19
312,312,Card,863,Paid,2026-01-06
313,313,UPI,1003,Paid,2026-03-27
314,314,Cash,2014,Paid,2026-03-17
315,315,Card,1667,Paid,2026-05-27
316,316,UPI,409,Paid,2026-04-17
317,317,Cash,1806,Paid,2026-06-17
318,318,Cash,1503,Paid,2026-05-14
319,319,Wallet,1344,Paid,2026-06-19
320,320,Cash,1915,Paid,2026-02-10
321,321,Wallet,1214,Paid,2026-01-18
322,322,Wallet,636,Paid,2026-03-16
323,323,Card,1717,Paid,2026-01-30
324,324,UPI,1489,Paid,2026-03-14
325,325,UPI,652,Paid,2026-03-26
326,326,Wallet,1974,Paid,2026-04-13
327,327,Wallet,1163,Paid,2026-02-12
328,328,Card,2547,Paid,2026-06-22
329,329,Card,1459,Paid,2026-07-27
330,330,UPI,1101,Paid,2026-03-16
331,331,Card,3184,Paid,2026-03-12
332,332,Cash,995,Paid,2026-05-26
333,333,Card,1605,Paid,2026-01-21
334,334,UPI,1041,Paid,2026-07-26
335,335,Cash,2793,Paid,2026-04-23
336,336,Cash,1003,Paid,2026-02-03
337,337,Wallet,1888,Paid,2026-01-13
338,338,Wallet,1330,Paid,2026-06-04
339,339,Wallet,1059,Paid,2026-06-06
340,340,Card,1604,Paid,2026-02-20
341,341,Card,894,Paid,2026-04-12
342,342,Wallet,2055,Paid,2026-05-09
343,343,UPI,1438,Paid,2026-07-07
344,344,Cash,1457,Paid,2026-07-21
345,345,UPI,1580,Paid,2026-05-04
346,346,Wallet,1700,Paid,2026-05-22
347,347,Card,1917,Paid,2026-07-28
348,348,UPI,1651,Paid,2026-02-26
349,349,Cash,1972,Paid,2026-02-11
350,350,UPI,928,Paid,2026-07-16
351,351,Card,648,Paid,2026-05-27
352,352,Cash,1462,Paid,2026-02-09
353,353,Card,988,Paid,2026-03-07
354,354,Cash,751,Paid,2026-04-29
355,355,UPI,1328,Paid,2026-01-30
356,356,Wallet,1181,Paid,2026-03-31
357,357,UPI,2817,Paid,2026-01-19
358,358,UPI,2290,Paid,2026-04-15
359,359,Cash,1372,Paid,2026-05-23
360,360,UPI,1765,Paid,2026-03-08
361,361,UPI,2081,Paid,2026-02-06
362,362,Card,610,Paid,2026-03-28
363,363,Card,867,Paid,2026-07-23
364,364,Wallet,1814,Paid,2026-01-07
365,365,Wallet,2116,Paid,2026-02-01
366,366,Cash,1591,Paid,2026-02-21
367,367,Card,1097,Paid,2026-06-16
368,368,Cash,569,Paid,2026-02-09
369,369,Cash,3425,Paid,2026-04-17
370,370,UPI,1107,Paid,2026-07-24
371,371,Cash,395,Paid,2026-07-24
372,372,Wallet,1080,Paid,2026-07-28
373,373,Wallet,733,Paid,2026-04-23
374,374,UPI,1356,Paid,2026-03-20
375,375,Card,1739,Paid,2026-05-31
376,376,Wallet,1492,Paid,2026-04-27
377,377,Card,1464,Paid,2026-03-29
378,378,UPI,1975,Paid,2026-04-06
379,379,UPI,2259,Paid,2026-05-21
380,380,Wallet,2353,Paid,2026-04-13
381,381,Card,1786,Paid,2026-01-12
382,382,Wallet,1939,Paid,2026-04-14
383,383,UPI,2295,Paid,2026-01-10
384,384,UPI,2273,Paid,2026-04-03
385,385,UPI,1400,Paid,2026-05-20
386,386,UPI,1284,Paid,2026-05-03
387,387,UPI,785,Paid,2026-07-27
388,388,Card,921,Paid,2026-04-08
389,389,Cash,2157,Paid,2026-03-03
390,390,Cash,649,Paid,2026-03-05
391,391,Wallet,3054,Paid,2026-06-10
392,392,Card,2136,Paid,2026-02-11
393,393,Card,1507,Paid,2026-01-13
394,394,Card,2081,Paid,2026-06-19
395,395,UPI,935,Paid,2026-01-29
396,396,Cash,1578,Paid,2026-02-23
397,397,Cash,1002,Paid,2026-06-11
398,398,Wallet,1472,Paid,2026-01-05
399,399,Wallet,2562,Paid,2026-03-02
400,400,Wallet,444,Paid,2026-02-21
401,401,Wallet,1036,Paid,2026-06-28
402,402,Cash,2069,Paid,2026-06-10
403,403,Wallet,1353,Paid,2026-05-08
404,404,Wallet,1546,Paid,2026-06-20
405,405,Cash,1778,Paid,2026-01-27
406,406,Cash,2048,Paid,2026-04-21
407,407,UPI,1170,Paid,2026-06-30
408,408,UPI,1676,Paid,2026-01-08
409,409,Wallet,2582,Paid,2026-07-10
410,410,Card,1805,Paid,2026-03-30
411,411,Cash,883,Paid,2026-07-23
412,412,Cash,519,Paid,2026-03-25
413,413,UPI,835,Paid,2026-05-29
414,414,UPI,1430,Paid,2026-01-01
415,415,UPI,2349,Paid,2026-02-17
416,416,Cash,1475,Paid,2026-02-04
417,417,Wallet,1000,Paid,2026-02-21
418,418,UPI,865,Paid,2026-07-26
419,419,UPI,1117,Paid,2026-02-11
420,420,UPI,1102,Paid,2026-04-27
421,421,Card,1511,Paid,2026-05-31
422,422,Card,2284,Paid,2026-04-18
423,423,Wallet,1508,Paid,2026-04-08
424,424,Wallet,1638,Paid,2026-03-07
425,425,Cash,1649,Paid,2026-02-18
426,426,Card,2090,Paid,2026-04-11
427,427,Cash,1859,Paid,2026-07-18
428,428,UPI,1309,Paid,2026-04-16
429,429,Cash,2571,Paid,2026-04-20
430,430,Wallet,2104,Paid,2026-01-23
431,431,Wallet,1095,Paid,2026-06-12
432,432,Wallet,2975,Paid,2026-07-14
433,433,UPI,2008,Paid,2026-03-26
434,434,UPI,663,Paid,2026-06-19
435,435,Cash,1629,Paid,2026-05-08
436,436,UPI,2591,Paid,2026-02-14
437,437,Wallet,1151,Paid,2026-05-22
438,438,Wallet,824,Paid,2026-06-10
439,439,Cash,867,Paid,2026-07-03
440,440,UPI,2340,Paid,2026-02-18
441,441,Card,1364,Paid,2026-06-08
442,442,Card,2042,Paid,2026-03-19
443,443,Wallet,1566,Paid,2026-07-28
444,444,Wallet,1580,Paid,2026-06-11
445,445,Card,1099,Paid,2026-01-10
446,446,UPI,1406,Paid,2026-03-16
447,447,Card,2095,Paid,2026-03-14
448,448,Card,1005,Paid,2026-03-31
449,449,Wallet,2199,Paid,2026-01-30
450,450,UPI,3049,Paid,2026-03-14
451,451,Card,1729,Paid,2026-03-24
452,452,Cash,793,Paid,2026-01-04
453,453,Cash,1488,Paid,2026-05-11
454,454,Card,1416,Paid,2026-03-29
455,455,UPI,417,Paid,2026-06-05
456,456,Wallet,1205,Paid,2026-06-29
457,457,Wallet,1236,Paid,2026-04-06
458,458,UPI,1007,Paid,2026-02-18
459,459,Wallet,2112,Paid,2026-07-23
460,460,UPI,1528,Paid,2026-01-21
461,461,Cash,1343,Paid,2026-02-20
462,462,Card,1737,Paid,2026-03-28
463,463,Wallet,698,Paid,2026-06-25
464,464,Wallet,1803,Paid,2026-07-26
465,465,Cash,1728,Paid,2026-02-15
466,466,Card,2890,Paid,2026-05-16
467,467,Wallet,1259,Paid,2026-03-12
468,468,Card,893,Paid,2026-02-23
469,469,Cash,1159,Paid,2026-02-03
470,470,UPI,2705,Paid,2026-05-08
471,471,UPI,878,Paid,2026-07-19
472,472,UPI,2229,Paid,2026-01-30
473,473,UPI,410,Paid,2026-01-05
474,474,UPI,2110,Paid,2026-01-09
475,475,Cash,1731,Paid,2026-02-06
476,476,UPI,1740,Paid,2026-07-07
477,477,Card,2255,Paid,2026-06-25
478,478,Wallet,732,Paid,2026-04-20
479,479,Cash,2167,Paid,2026-02-07
480,480,Cash,386,Paid,2026-04-12
481,481,UPI,1790,Paid,2026-02-08
482,482,Card,2310,Paid,2026-04-25
483,483,Wallet,1117,Paid,2026-06-01
484,484,Cash,2561,Paid,2026-06-20
485,485,UPI,1923,Paid,2026-05-31
486,486,Wallet,1787,Paid,2026-07-06
487,487,UPI,2096,Paid,2026-06-09
488,488,UPI,2567,Paid,2026-05-12
489,489,Card,557,Paid,2026-06-05
490,490,Wallet,1674,Paid,2026-02-14
491,491,Wallet,2614,Paid,2026-06-15
492,492,Card,658,Paid,2026-05-12
493,493,Wallet,1652,Paid,2026-01-01
494,494,Cash,1838,Paid,2026-03-25
495,495,Wallet,952,Paid,2026-05-27
496,496,Card,1043,Paid,2026-02-19
497,497,Card,1005,Paid,2026-07-20
498,498,UPI,1737,Paid,2026-03-14
499,499,Card,2595,Paid,2026-06-17
500,500,Wallet,455,Paid,2026-02-15
501,501,Cash,1802,Paid,2026-02-04
502,502,Card,764,Paid,2026-06-16
503,503,Card,1775,Paid,2026-03-17
504,504,UPI,1807,Paid,2026-03-23
505,505,Card,1224,Paid,2026-05-22
506,506,Card,2095,Paid,2026-06-05
507,507,Wallet,1776,Paid,2026-06-06
508,508,Cash,1651,Paid,2026-07-23
509,509,Cash,1919,Paid,2026-04-06
510,510,Card,1494,Paid,2026-07-10
511,511,Cash,1299,Paid,2026-07-14
512,512,UPI,1684,Paid,2026-06-27
513,513,Cash,1722,Paid,2026-04-16
514,514,UPI,423,Paid,2026-03-02
515,515,Wallet,2126,Paid,2026-02-10
516,516,Card,1611,Paid,2026-07-24
517,517,Wallet,1832,Paid,2026-06-16
518,518,Card,1350,Paid,2026-04-06
519,519,Card,2222,Paid,2026-03-01
520,520,Card,2458,Paid,2026-05-16
521,521,UPI,1186,Paid,2026-07-02
522,522,Wallet,2405,Paid,2026-03-29
523,523,Wallet,3215,Paid,2026-06-02
524,524,UPI,2255,Paid,2026-01-11
525,525,Cash,2743,Paid,2026-03-01
526,526,Card,1538,Paid,2026-03-28
527,527,Card,1026,Paid,2026-02-26
528,528,Card,1617,Paid,2026-03-26
529,529,Cash,1658,Paid,2026-01-19
530,530,Wallet,1656,Paid,2026-04-05
531,531,Cash,2102,Paid,2026-01-25
532,532,Card,1711,Paid,2026-07-09
533,533,Cash,1705,Paid,2026-07-29
534,534,Card,1328,Paid,2026-05-19
535,535,UPI,2933,Paid,2026-04-20
536,536,Wallet,498,Paid,2026-07-02
537,537,UPI,1802,Paid,2026-03-09
538,538,Wallet,1292,Paid,2026-01-26
539,539,Cash,1689,Paid,2026-05-01
540,540,Cash,1110,Paid,2026-04-26
541,541,Wallet,1641,Paid,2026-06-06
542,542,Card,2610,Paid,2026-02-17
543,543,Wallet,2647,Paid,2026-04-06
544,544,Cash,687,Paid,2026-04-22
545,545,Cash,1722,Paid,2026-03-20
546,546,UPI,466,Paid,2026-04-14
547,547,Card,1608,Paid,2026-02-21
548,548,Cash,1738,Paid,2026-02-21
549,549,Cash,2200,Paid,2026-06-20
550,550,Card,1870,Paid,2026-06-12
551,551,Wallet,2152,Paid,2026-05-27
552,552,Cash,1343,Paid,2026-07-28
553,553,Cash,1595,Paid,2026-04-10
554,554,Cash,2677,Paid,2026-06-26
555,555,Card,1156,Paid,2026-02-15
556,556,Wallet,2988,Paid,2026-04-22
557,557,UPI,1406,Paid,2026-02-22
558,558,Wallet,1515,Paid,2026-04-15
559,559,Cash,1216,Paid,2026-01-13
560,560,UPI,2602,Paid,2026-07-04
561,561,UPI,1642,Paid,2026-06-14
562,562,UPI,2370,Paid,2026-05-04
563,563,Card,2104,Paid,2026-01-19
564,564,UPI,705,Paid,2026-04-04
565,565,Wallet,1426,Paid,2026-03-25
566,566,Wallet,1452,Paid,2026-06-19
567,567,UPI,1723,Paid,2026-02-04
568,568,Cash,1881,Paid,2026-06-10
569,569,UPI,1791,Paid,2026-07-16
570,570,Wallet,1258,Paid,2026-03-08
571,571,UPI,2202,Paid,2026-01-26
572,572,Wallet,954,Paid,2026-05-07
573,573,Cash,2072,Paid,2026-03-31
574,574,Card,2197,Paid,2026-01-07
575,575,Cash,1585,Paid,2026-04-06
576,576,Wallet,1282,Paid,2026-03-18
577,577,Wallet,2092,Paid,2026-07-20
578,578,Wallet,2168,Paid,2026-07-24
579,579,Wallet,1593,Paid,2026-02-11
580,580,Wallet,1887,Paid,2026-04-24
581,581,Card,534,Paid,2026-01-05
582,582,Wallet,1320,Paid,2026-07-10
583,583,UPI,1554,Paid,2026-02-03
584,584,Wallet,3514,Paid,2026-03-27
585,585,UPI,1764,Paid,2026-03-14
586,586,Card,788,Paid,2026-05-05
587,587,Cash,741,Paid,2026-07-23
588,588,UPI,696,Paid,2026-05-03
589,589,UPI,1304,Paid,2026-05-27
590,590,UPI,1316,Paid,2026-05-11
591,591,Card,1511,Paid,2026-03-03
592,592,Wallet,596,Paid,2026-03-21
593,593,UPI,1371,Paid,2026-03-07
594,594,UPI,961,Paid,2026-04-26
595,595,Cash,995,Paid,2026-03-13
596,596,Card,598,Paid,2026-04-19
597,597,UPI,873,Paid,2026-01-23
598,598,Cash,1821,Paid,2026-05-19
599,599,Card,1644,Paid,2026-01-31
600,600,UPI,1447,Paid,2026-04-01
601,601,UPI,2130,Paid,2026-01-02
602,602,UPI,1196,Paid,2026-01-29
603,603,Cash,573,Paid,2026-06-07
604,604,Cash,1837,Paid,2026-03-15
605,605,Wallet,1161,Paid,2026-05-25
606,606,Wallet,1595,Paid,2026-06-04
607,607,Wallet,1414,Paid,2026-01-04
608,608,Wallet,2365,Paid,2026-07-30
609,609,Card,703,Paid,2026-07-15
610,610,Wallet,2850,Paid,2026-03-05
611,611,Wallet,669,Paid,2026-03-09
612,612,Wallet,936,Paid,2026-05-30
613,613,Cash,772,Paid,2026-05-05
614,614,Wallet,1733,Paid,2026-05-05
615,615,Wallet,854,Paid,2026-04-02
616,616,UPI,1964,Paid,2026-06-02
617,617,Card,2062,Paid,2026-01-12
618,618,Card,1704,Paid,2026-04-29
619,619,UPI,1908,Paid,2026-01-02
620,620,Wallet,1986,Paid,2026-04-29
621,621,Card,1040,Paid,2026-04-03
622,622,UPI,2103,Paid,2026-03-07
623,623,Cash,978,Paid,2026-02-11
624,624,Wallet,1765,Paid,2026-03-10
625,625,Wallet,588,Paid,2026-05-04
626,626,Wallet,1584,Paid,2026-02-02
627,627,Card,1768,Paid,2026-02-02
628,628,UPI,889,Paid,2026-02-10
629,629,Card,1288,Paid,2026-06-04
630,630,Cash,2558,Paid,2026-04-03
631,631,UPI,1083,Paid,2026-04-02
632,632,UPI,2131,Paid,2026-07-25
633,633,Card,1632,Paid,2026-01-27
634,634,Card,2728,Paid,2026-01-14
635,635,Cash,2847,Paid,2026-06-05
636,636,Card,1603,Paid,2026-05-07
637,637,Wallet,1673,Paid,2026-05-24
638,638,Card,2135,Paid,2026-07-26
639,639,UPI,1516,Paid,2026-05-04
