purchase_id,supplier_id,ingredient_id,purchase_date,quantity,unit_cost,total_cost
155,18,38,2026-06-19,60,109,6540
156,4,16,2026-03-12,31,142,4402
157,6,40,2026-04-30,40,35,1400
158,18,14,2026-05-08,73,72,5256
159,7,23,2026-04-16,52,153,7956
160,10,43,2026-02-01,57,60,3420
161,18,40,2026-02-17,49,111,5439
162,14,10,2026-04-07,97,168,16296
163,15,48,2026-02-01,95,174,16530
164,9,29,2026-06-16,29,136,3944
165,15,33,2026-05-11,19,177,3363
166,20,51,2026-01-05,48,136,6528
167,14,69,2026-07-02,72,149,10728
168,9,8,2026-01-10,67,166,11122
169,7,54,2026-01-28,92,194,17848
170,16,48,2026-07-27,96,88,8448
171,11,52,2026-03-25,69,135,9315
172,16,42,2026-02-15,68,83,5644
173,18,26,2026-05-28,81,197,15957
174,8,8,2026-01-01,69,94,6486
175,14,44,2026-05-08,62,62,3844
176,14,2,2026-03-23,11,156,1716
177,18,11,2026-02-09,65,28,1820
178,6,67,2026-05-16,30,120,3600
179,11,5,2026-02-28,49,35,1715
180,19,22,2026-01-08,99,184,18216
181,11,54,2026-05-18,53,91,4823
182,19,24,2026-01-24,76,47,3572
183,10,42,2026-06-06,11,190,2090
184,8,7,2026-07-13,93,79,7347
185,11,1,2026-05-17,28,144,4032
186,7,37,2026-01-12,51,46,2346
187,8,30,2026-06-14,78,58,4524
188,17,52,2026-03-26,85,193,16405
189,13,31,2026-04-18,27,58,1566
190,5,44,2026-01-05,52,41,2132
191,15,42,2026-02-23,85,91,7735
192,13,80,2026-02-02,13,43,559
193,1,2,2026-04-01,34,77,2618
194,6,2,2026-06-03,44,51,2244
195,1,11,2026-02-08,48,135,6480
196,13,80,2026-04-21,29,135,3915
197,10,11,2026-05-30,28,62,1736
198,19,14,2026-01-03,94,98,9212
199,19,11,2026-01-22,14,176,2464
200,4,18,2026-03-11,57,25,1425
201,5,74,2026-04-05,26,167,4342
202,5,12,2026-05-25,38,30,1140
203,5,40,2026-02-19,36,164,5904
204,9,64,2026-01-09,21,127,2667
205,14,45,2026-06-24,36,71,2556
206,18,30,2026-05-25,42,171,7182
207,2,46,2026-03-15,21,137,2877
208,6,19,2026-01-17,82,21,1722
209,1,52,2026-06-06,43,46,1978
210,5,33,2026-02-09,32,121,3872
211,13,59,2026-06-13,62,128,7936
212,18,80,2026-06-03,66,66,4356
213,3,71,2026-03-18,14,33,462
214,2,63,2026-07-30,99,71,7029
215,1,37,2026-05-26,59,181,10679
216,8,70,2026-05-08,86,22,1892
217,3,48,2026-07-22,84,131,11004
218,15,68,2026-06-17,42,200,8400
219,10,1,2026-01-07,55,23,1265
220,18,33,2026-05-21,65,113,7345
221,13,5,2026-04-19,58,144,8352
222,5,34,2026-07-22,56,199,11144
223,5,15,2026-03-23,17,94,1598
224,19,31,2026-01-08,27,138,3726
225,20,55,2026-06-18,12,117,1404
226,16,18,2026-06-11,26,177,4602
227,6,31,2026-06-03,100,111,11100
228,4,6,2026-07-26,63,126,7938
229,13,62,2026-06-24,91,39,3549
230,3,44,2026-06-13,57,102,5814
231,16,2,2026-04-19,38,121,4598
232,11,8,2026-06-23,55,174,9570
233,1,16,2026-04-03,91,139,12649
234,5,16,2026-04-21,25,153,3825
235,5,65,2026-04-26,84,131,11004
236,16,75,2026-07-13,19,164,3116
237,9,9,2026-01-15,77,168,12936
238,8,66,2026-04-18,84,136,11424
239,14,18,2026-03-23,49,63,3087
240,2,43,2026-02-18,22,50,1100
241,8,4,2026-03-18,88,137,12056
242,13,39,2026-06-20,24,101,2424
243,19,77,2026-01-28,59,33,1947
244,17,17,2026-06-01,38,161,6118
245,17,69,2026-01-25,19,116,2204
246,2,48,2026-07-27,53,22,1166
247,11,6,2026-07-11,18,49,882
248,15,71,2026-03-15,31,82,2542
249,9,56,2026-02-02,82,121,9922
250,11,6,2026-03-17,94,106,9964
251,1,79,2026-01-01,100,178,17800
252,1,78,2026-01-28,98,21,2058
253,3,30,2026-02-22,17,198,3366
254,18,9,2026-01-31,42,25,1050
255,4,29,2026-04-10,94,127,11938
256,11,31,2026-02-28,58,171,9918
257,9,7,2026-02-28,19,164,3116
258,20,79,2026-04-24,35,163,5705
259,10,28,2026-03-11,91,51,4641
260,20,12,2026-06-17,74,84,6216
261,5,56,2026-03-21,97,125,12125
262,16,8,2026-01-05,36,100,3600
263,9,8,2026-01-08,13,63,819
264,13,51,2026-02-16,24,80,1920
265,15,28,2026-06-16,33,151,4983
266,1,25,2026-02-26,87,175,15225
267,15,72,2026-04-22,52,163,8476
268,15,27,2026-03-25,64,160,10240
269,4,79,2026-06-18,70,173,12110
270,8,9,2026-02-06,28,106,2968
271,15,60,2026-03-09,95,48,4560
272,8,80,2026-05-14,100,178,17800
273,20,45,2026-06-10,71,197,13987
274,8,55,2026-01-30,14,155,2170
275,6,14,2026-07-29,23,140,3220
276,14,37,2026-04-07,91,126,11466
277,6,64,2026-05-08,80,80,6400
278,6,33,2026-07-21,74,97,7178
279,2,17,2026-05-28,97,131,12707
280,12,36,2026-04-29,93,36,3348
281,16,35,2026-03-06,57,43,2451
282,7,44,2026-02-19,11,39,429
283,4,24,2026-01-18,52,125,6500
284,1,69,2026-01-29,57,37,2109
285,17,26,2026-02-06,47,199,9353
286,15,19,2026-02-21,11,67,737
287,5,19,2026-06-01,20,79,1580
288,5,54,2026-03-20,45,147,6615
289,15,24,2026-03-03,19,92,1748
290,14,50,2026-07-08,48,56,2688
291,1,66,2026-07-02,65,143,9295
292,4,50,2026-03-15,41,184,7544
293,7,23,2026-03-19,56,85,4760
294,4,28,2026-02-20,78,162,12636
295,2,19,2026-06-30,23,140,3220
296,12,30,2026-01-27,68,97,6596
297,18,50,2026-07-02,85,157,13345
298,11,71,2026-01-02,75,59,4425
299,9,67,2026-06-16,36,153,5508
300,1,27,2026-04-27,60,41,2460
301,2,11,2026-06-13,92,184,16928
302,13,50,2026-02-24,61,52,3172
303,9,36,2026-05-21,55,188,10340
304,20,62,2026-05-19,61,143,8723
305,6,71,2026-04-05,18,119,2142
306,5,75,2026-02-06,84,50,4200
307,3,61,2026-05-31,72,74,5328
308,7,24,2026-04-02,16,65,1040
309,16,14,2026-01-08,47,22,1034
310,12,28,2026-04-20,37,86,3182
311,2,40,2026-07-08,89,135,12015
312,11,75,2026-03-26,67,179,11993
313,7,17,2026-07-26,40,174,6960
314,20,54,2026-01-04,45,141,6345
315,14,73,2026-04-16,93,40,3720
316,5,21,2026-04-03,79,142,11218
317,11,71,2026-06-14,99,182,18018
318,4,59,2026-01-15,30,129,3870
319,13,20,2026-05-20,23,119,2737
320,6,62,2026-03-29,41,72,2952
321,2,11,2026-05-08,97,173,16781
322,17,52,2026-03-02,59,81,4779
323,7,77,2026-06-23,43,109,4687
324,4,71,2026-03-11,53,120,6360
325,14,61,2026-04-08,29,25,725
326,2,54,2026-03-17,50,190,9500
327,2,57,2026-06-23,88,148,13024
328,7,49,2026-05-02,43,142,6106
329,12,79,2026-01-13,95,90,8550
330,2,78,2026-04-17,32,133,4256
331,19,58,2026-02-26,57,118,6726
332,2,47,2026-07-08,52,173,8996
333,5,25,2026-01-26,92,45,4140
334,7,23,2026-04-12,32,23,736
335,15,46,2026-03-02,28,45,1260
336,7,52,2026-04-28,85,142,12070
337,6,62,2026-01-29,46,131,6026
338,18,78,2026-04-07,51,47,2397
339,14,55,2026-02-17,38,117,4446
340,1,74,2026-02-19,16,60,960
341,18,5,2026-05-14,43,140,6020
342,8,37,2026-02-01,11,40,440
343,11,55,2026-04-17,67,161,10787
344,16,15,2026-05-31,62,188,11656
345,12,10,2026-05-08,47,190,8930
346,6,80,2026-04-28,47,153,7191
347,20,42,2026-06-05,82,81,6642
348,16,45,2026-02-14,34,198,6732
349,18,35,2026-06-13,78,170,13260
350,14,38,2026-04-18,87,199,17313
351,2,44,2026-01-11,78,43,3354
352,18,13,2026-05-03,41,33,1353
353,15,80,2026-01-06,36,81,2916
354,17,20,2026-04-16,36,154,5544
355,2,32,2026-07-29,98,32,3136
356,9,53,2026-03-23,99,122,12078
357,19,64,2026-04-22,65,149,9685
358,20,66,2026-04-04,57,26,1482
359,20,62,2026-06-20,27,154,4158
360,9,26,2026-06-25,21,134,2814
361,5,66,2026-04-01,66,178,11748
362,16,72,2026-03-04,94,177,16638
363,17,51,2026-07-26,57,110,6270
364,11,70,2026-03-16,72,37,2664
365,11,57,2026-07-18,30,76,2280
366,2,1,2026-01-19,18,32,576
367,14,50,2026-03-22,27,110,2970
368,3,51,2026-06-10,32,116,3712
369,16,69,2026-01-12,54,148,7992
370,10,52,2026-07-12,37,190,7030
371,20,35,2026-03-13,19,199,3781
372,2,14,2026-05-13,34,111,3774
373,17,41,2026-07-29,81,24,1944
374,7,29,2026-07-22,51,134,6834
375,19,14,2026-03-24,84,95,7980
376,17,3,2026-02-27,72,127,9144
377,10,37,2026-07-26,12,67,804
378,11,27,2026-02-23,63,68,4284
379,3,3,2026-04-07,78,163,12714
380,16,10,2026-06-17,46,101,4646
381,17,24,2026-06-04,26,128,3328
382,15,65,2026-05-08,80,49,3920
383,14,26,2026-03-30,38,75,2850
384,13,1,2026-04-26,87,191,16617
385,14,32,2026-02-16,86,132,11352
386,5,51,2026-05-27,41,23,943
387,18,21,2026-03-19,37,134,4958
388,15,67,2026-01-17,24,168,4032
389,17,21,2026-05-12,29,102,2958
390,14,66,2026-05-23,97,75,7275
391,1,41,2026-07-07,88,168,14784
392,3,32,2026-06-04,97,76,7372
393,9,53,2026-05-25,11,68,748
394,17,73,2026-03-13,59,195,11505
395,6,56,2026-04-16,67,25,1675
396,8,26,2026-07-06,43,149,6407
397,8,26,2026-04-19,80,107,8560
398,14,16,2026-01-14,69,100,6900
399,9,50,2026-02-16,62,177,10974
400,4,5,2026-07-26,21,195,4095
401,5,37,2026-01-06,90,153,13770
402,15,9,2026-06-29,88,106,9328
403,14,6,2026-07-09,25,145,3625
404,6,37,2026-04-10,15,150,2250
405,15,12,2026-04-08,59,177,10443
406,13,80,2026-02-12,72,77,5544
407,13,53,2026-02-13,85,25,2125
408,19,20,2026-06-27,27,137,3699
409,10,36,2026-03-23,78,63,4914
410,20,39,2026-06-27,50,150,7500
411,5,57,2026-06-15,62,57,3534
412,7,31,2026-02-16,83,30,2490
413,10,34,2026-02-03,60,80,4800
414,9,77,2026-03-19,69,157,10833
415,6,14,2026-04-01,40,163,6520
416,2,51,2026-04-11,73,171,12483
417,20,76,2026-06-26,87,29,2523
418,13,50,2026-02-17,42,120,5040
419,9,69,2026-01-27,78,146,11388
420,10,42,2026-01-18,59,45,2655
421,4,38,2026-02-18,41,193,7913
422,15,21,2026-06-30,51,104,5304
423,1,55,2026-01-08,56,52,2912
424,19,70,2026-07-23,77,157,12089
425,10,27,2026-03-06,32,128,4096
426,11,74,2026-02-28,57,193,11001
427,11,76,2026-03-19,44,147,6468
428,12,30,2026-07-10,73,67,4891
429,1,59,2026-05-21,20,78,1560
430,4,59,2026-03-17,80,72,5760
431,20,65,2026-03-13,22,174,3828
432,1,39,2026-06-16,30,161,4830
433,2,4,2026-05-03,54,70,3780
434,1,76,2026-03-05,51,107,5457
435,19,23,2026-02-20,72,44,3168
436,20,25,2026-06-04,84,29,2436
437,4,20,2026-04-12,28,97,2716
438,19,49,2026-05-22,81,105,8505
439,19,30,2026-03-19,36,102,3672
440,14,41,2026-01-05,88,72,6336
441,15,49,2026-02-20,67,108,7236
442,3,2,2026-04-09,39,117,4563
443,20,56,2026-06-11,32,33,1056
444,9,59,2026-01-24,70,106,7420
445,8,23,2026-06-30,80,34,2720
446,15,20,2026-04-20,96,54,5184
447,2,42,2026-01-15,64,178,11392
448,12,33,2026-03-05,45,162,7290
449,1,31,2026-05-27,98,92,9016
450,2,8,2026-03-09,87,20,1740
451,4,14,2026-03-31,27,37,999
452,8,46,2026-01-23,31,149,4619
453,2,74,2026-07-10,79,159,12561
454,4,73,2026-07-10,14,55,770
455,10,58,2026-07-01,64,112,7168
456,3,46,2026-04-05,61,95,5795
457,17,20,2026-03-29,88,93,8184
458,8,55,2026-07-22,43,125,5375
459,2,50,2026-07-03,26,140,3640
460,17,40,2026-05-31,98,38,3724
461,1,76,2026-03-08,66,194,12804
462,13,47,2026-01-30,42,131,5502
463,3,34,2026-05-31,68,53,3604
464,10,71,2026-02-02,99,41,4059
465,13,57,2026-05-18,18,93,1674
466,16,58,2026-04-03,79,174,13746
467,14,77,2026-06-18,73,184,13432
468,11,13,2026-02-07,40,197,7880
469,13,54,2026-07-19,88,108,9504
470,8,1,2026-06-17,25,191,4775
471,11,79,2026-06-11,88,130,11440
472,4,21,2026-06-21,89,141,12549
473,5,61,2026-06-06,67,34,2278
474,12,72,2026-03-27,28,113,3164
475,13,66,2026-01-25,81,151,12231
476,9,29,2026-02-10,21,138,2898
477,4,28,2026-03-29,93,135,12555
478,7,69,2026-07-05,50,28,1400
479,5,19,2026-01-02,61,124,7564
480,12,42,2026-01-04,94,184,17296
481,7,3,2026-02-21,58,166,9628
482,15,66,2026-01-06,84,87,7308
483,11,73,2026-01-29,83,159,13197
484,8,30,2026-05-28,53,177,9381
485,14,73,2026-03-15,49,33,1617
486,15,29,2026-03-29,25,159,3975
487,4,38,2026-02-18,66,130,8580
488,7,55,2026-02-15,96,27,2592
489,7,71,2026-05-21,28,78,2184
490,14,78,2026-02-16,77,50,3850
491,1,71,2026-05-04,73,195,14235
492,19,49,2026-07-21,28,72,2016
493,5,13,2026-07-23,59,36,2124
494,20,58,2026-06-07,52,179,9308
495,18,14,2026-06-11,20,192,3840
496,5,17,2026-07-18,55,163,8965
497,8,42,2026-06-06,22,29,638
498,19,35,2026-05-26,42,119,4998
499,6,21,2026-07-26,40,194,7760
500,8,70,2026-04-01,82,161,13202
501,4,44,2026-05-20,53,160,8480
502,16,80,2026-03-07,81,124,10044
503,3,37,2026-03-24,26,182,4732
504,19,37,2026-07-09,63,178,11214
505,2,35,2026-01-02,36,162,5832
506,8,30,2026-06-20,53,180,9540
507,3,71,2026-03-29,42,112,4704
508,7,50,2026-05-20,50,71,3550
509,14,68,2026-02-23,33,62,2046
510,3,52,2026-05-23,14,121,1694
511,2,29,2026-03-25,45,45,2025
512,11,18,2026-06-30,70,110,7700
513,5,64,2026-06-22,85,138,11730
514,4,26,2026-01-05,35,156,5460
515,15,24,2026-04-19,88,131,11528
516,20,21,2026-07-19,42,26,1092
517,9,31,2026-01-31,97,156,15132
518,3,37,2026-01-21,51,59,3009
519,14,64,2026-05-06,69,87,6003
520,19,3,2026-05-23,45,104,4680
521,18,7,2026-07-28,48,82,3936
522,8,51,2026-03-03,85,41,3485
523,6,38,2026-06-14,88,79,6952
524,5,31,2026-05-05,72,89,6408
525,6,70,2026-02-10,21,166,3486
526,7,67,2026-04-04,35,150,5250
527,11,39,2026-06-14,79,80,6320
528,14,40,2026-02-18,46,27,1242
529,12,28,2026-05-13,46,140,6440
530,7,52,2026-04-02,28,26,728
531,8,67,2026-04-17,91,169,15379
532,6,2,2026-01-02,36,44,1584
533,15,71,2026-02-26,33,154,5082
534,4,38,2026-05-24,96,175,16800
535,17,3,2026-01-04,86,165,14190
536,4,17,2026-05-09,58,106,6148
537,20,57,2026-01-01,62,87,5394
538,20,26,2026-05-15,16,76,1216
539,2,55,2026-06-19,51,128,6528
540,7,35,2026-03-19,45,50,2250
541,11,53,2026-04-20,22,200,4400
542,20,11,2026-01-12,51,178,9078
543,9,66,2026-02-14,100,158,15800
544,5,43,2026-05-07,70,163,11410
545,14,58,2026-06-02,80,115,9200
546,3,34,2026-01-15,72,63,4536
547,1,47,2026-07-10,38,32,1216
548,10,12,2026-02-16,50,129,6450
549,2,2,2026-01-04,85,164,13940
550,12,51,2026-02-20,63,181,11403
551,8,72,2026-07-05,99,164,16236
552,6,64,2026-05-24,82,158,12956
553,14,17,2026-05-10,98,161,15778
554,17,3,2026-03-27,39,199,7761
555,20,51,2026-03-24,58,143,8294
556,4,25,2026-06-22,31,129,3999
557,3,60,2026-04-24,69,39,2691
558,13,39,2026-06-18,30,125,3750
559,19,22,2026-01-03,80,175,14000
560,11,64,2026-06-23,62,51,3162
561,3,29,2026-02-05,21,106,2226
562,4,53,2026-04-14,83,79,6557
563,19,59,2026-06-09,21,29,609
564,14,75,2026-02-10,70,97,6790
565,19,33,2026-06-12,76,138,10488
566,15,6,2026-02-12,66,67,4422
567,20,49,2026-03-17,86,186,15996
568,11,60,2026-07-09,41,170,6970
569,11,68,2026-05-27,23,174,4002
570,9,5,2026-03-23,44,172,7568
571,10,56,2026-01-21,78,39,3042
572,16,72,2026-06-19,49,126,6174
573,2,37,2026-05-23,76,35,2660
574,18,62,2026-01-11,87,143,12441
575,13,1,2026-06-06,65,169,10985
576,14,51,2026-03-30,82,137,11234
577,1,63,2026-07-23,33,187,6171
578,18,23,2026-03-01,13,194,2522
579,14,26,2026-06-05,46,100,4600
580,1,52,2026-01-09,50,112,5600
581,8,80,2026-05-22,78,119,9282
582,14,67,2026-02-08,85,23,1955
583,7,75,2026-05-19,41,46,1886
584,17,27,2026-06-12,85,95,8075
585,3,17,2026-02-14,47,184,8648
586,7,49,2026-05-24,63,88,5544
587,16,29,2026-02-01,11,25,275
588,14,39,2026-02-03,60,193,11580
589,17,9,2026-04-27,55,167,9185
590,19,43,2026-05-21,41,113,4633
591,20,6,2026-02-26,42,154,6468
592,3,18,2026-02-22,50,22,1100
593,18,56,2026-06-10,29,133,3857
594,5,56,2026-01-12,78,33,2574
595,13,25,2026-01-24,11,164,1804
596,9,25,2026-01-10,25,74,1850
597,6,38,2026-04-02,77,163,12551
598,5,10,2026-02-23,79,198,15642
599,15,18,2026-02-25,99,59,5841
600,15,8,2026-05-15,37,63,2331
